,Date,Tweets
0,2022-03-13,"@AndreaTheoJohn @united As a @United #MileagePlus traveler who hasn't taken a #UnitedAirlines flight since 2019, the new 12 seater exit row, was a rude shock! Well, traveling back on @AmericanAirlines so ðŸ¤žðŸ¤ž! The good news is I am way closer to #SanDiego! Looking forward to meeting you! ðŸ˜€ #custserv"
1,2022-03-13,RT @lammdogg: I can't believe it's been a year since @diecastryan took me up in a ðŸšðŸ“¸ for 3 hours over @fly2ohare in what turned out to be aâ€¦
2,2022-03-13,"ICAO: #A8C4D8
Flt: #UAL933 #UnitedAirlines
First seen: 2022/03/13 17:29:58
Min Alt: 10425 ft MSL
Min Dist: 2.85 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/YuSHNk10tI https://t.co/t1UIdvIHhu"
3,2022-03-13,"I can't believe it's been a year since @diecastryan took me up in a ðŸšðŸ“¸ for 3 hours over @fly2ohare in what turned out to be an AVgeek dream shoot of a lifetime ðŸ’™âœˆï¸ðŸšðŸ“¸

#UnitedAirlines #chooseohare https://t.co/1FEnDd0xRw"
4,2022-03-13,A whopping 40 hours in Orlando and this chick is headed home! @united #UnitedAirlines https://t.co/6ov8LZyRjL
5,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
6,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
7,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
8,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
9,2022-03-13,Do NOT fly with #UnitedAirlines
10,2022-03-13,#NewsFlash: #CNBC: #UnitedAirlines will let #unvaccinated employees return to their jobs this month.
11,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
12,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
13,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
14,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
15,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
16,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
17,2022-03-13,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
18,2022-03-13,Yo they got this woman check people in and checking people at the gate? #UnitedAirlines you better be paying this woman well
19,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
20,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
21,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
22,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
23,2022-03-13,RT @diecastryan: A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography htâ€¦
24,2022-03-13,A full house in Newark! #newark #unitedairlines #boeing777 #airplane #aviationphotography #nikond850 #aerialphotography https://t.co/Oq1jpRQ4ZP
25,2022-03-13,"Come on @united -over 10 hr delay on a 2.5 hr flight?? IAD to RSW. U shouldâ€™ve canceled. Leaving everyone in airport overnight w/all services closed. No info to ur rep, left to deal w/angry fliers. When u treat people like cattle they tend to act like animals.. #UnitedAirlines"
26,2022-03-13,@UnltedAirlines  25 mins after touching down and still waiting for a gate.  #worstairlineever #UnitedAirlines https://t.co/vc9iYBsina
27,2022-03-13,"ICAO: #A2CB14
Flt: #UAL906 #UnitedAirlines
First seen: 2022/03/13 13:19:48
Min Alt: 10625 ft MSL
Min Dist: 0.85 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/C5jknRNGiV https://t.co/zVl7SPMdu4"
28,2022-03-13,"On my way to San Diego for #SMMW22. Paid $93 more for an exit row on @united but SO DISAPPOINTED!

#UnitedAirlines has condensed the single spacious exit row with 2 comfortable seats, to 
1 row &amp; 3 tiny seats w/ just a smidgen more leg room! ðŸ‘ŽðŸ‘Ž#CX! #custserv #customerexperience https://t.co/NayjvcuyJd"
29,2022-03-13,Our flight attendant is too funny over the speaker ðŸ¤£ #UnitedAirlines
30,2022-03-13,"ICAO: #A07DC8
Flt: #UAL961 #UnitedAirlines
First seen: 2022/03/13 12:15:26
Min Alt: 10050 ft MSL
Min Dist: 1.93 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/dRHAvHK6Gs https://t.co/nWPt0hPKB5"
31,2022-03-13,"#unitedairlines you have a gem of an employee in Toya Perez! She worked with us to get a new after missing our connect due to major delays. We just might save this spring break vacation. Thank you Toya Perez!
#unitedaiinesgivetoyaperezaraise"
32,2022-03-13,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
33,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
34,2022-03-13,@ryan_landay So I am interested in the flight information so thanks for that news. I am curious to why a gender breakdown is needed for a nearby university? What's the point? #mtu #michigantech #UnitedAirlines
35,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
36,2022-03-13,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
37,2022-03-13,"ICAO: #A2CA5D
Flt: #UAL945 #UnitedAirlines
First seen: 2022/03/13 09:02:07
Min Alt: 10000 ft MSL
Min Dist: 1.14 km

#planefence #adsb - docker:kx1t/planefence
https://t.co/tEyLJPKR5e https://t.co/W7dnXUzppu"
38,2022-03-13,Only @united will leave this many people stranded. They were turning people away and told them there was nothing they could do. Despicable #UnitedAirlines https://t.co/1fz4uR2SDw
39,2022-03-13,RT @FFCCOOLJC: Not one single solitary person who was let go by #UnitedAirlines because they were not vaccinated should return and everyoneâ€¦
40,2022-03-13,@unitedairlines told passgrs to INDIVIDUALLY request their bag orit will be sent on the MONDAY night flight to Charlottesville.  #UnitedAirlines  #dulles
41,2022-03-13,@united Stranded @ Dulles â€”for over 8 hours. Us3827 made to check all carryonsâ€”canâ€™t get luggage?? #UnitedAirlines
42,2022-03-13,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
43,2022-03-13,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
44,2022-03-13,#UnitedAirlines letting unvaccinated employees return to work | TheHill https://t.co/0k7GHVOQLC
45,2022-03-13,"RT @harshit_: After paying full price for a ticket, being downgraded once without compensation, multiple 3+ hour-long calls and I still donâ€¦"
46,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
47,2022-03-13,RT @true_BroncosFan: Been sitting in this plane for nearly an hour because of catering delay! Catering on a 2 hour flight? Itâ€™s just fuckinâ€¦
48,2022-03-13,@DrRupani @VikasChawla75 @IndianEmbassyUS @AmericanAir These American Airlines pilots are crazy or whimsical? One #UnitedAirlines pilot decided to return after 3 hours as 2 pax forcibly occupied business class seats. The flight was cancelled.
49,2022-03-13,"ICAO: A23A03
Flt: UAL1565 #UnitedAirlines
First seen: 2022/03/12 23:09:54
Min Alt: 10850 ft MSL
Min Dist: 35.8 nm

#planefence #adsb - docker:kx1t/planefence
https://t.co/KaO4msHovL"
50,2022-03-13,@united get me to Dublin like we originally booked and comp us for all losses. And on my birthday of all times. Unacceptable. Letâ€™s see if you actually want to right these wrongs. #unitedairlines
51,2022-03-13,RT @true_BroncosFan: Been sitting in this plane for nearly an hour because of catering delay! Catering on a 2 hour flight? Itâ€™s just fuckinâ€¦
52,2022-03-13,"RT @harshit_: After paying full price for a ticket, being downgraded once without compensation, multiple 3+ hour-long calls and I still donâ€¦"
53,2022-03-13,"RT @harshit_: After paying full price for a ticket, being downgraded once without compensation, multiple 3+ hour-long calls and I still donâ€¦"
54,2022-03-13,"RT @harshit_: After paying full price for a ticket, being downgraded once without compensation, multiple 3+ hour-long calls and I still donâ€¦"
55,2022-03-13,"RT @harshit_: After paying full price for a ticket, being downgraded once without compensation, multiple 3+ hour-long calls and I still donâ€¦"
56,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
57,2022-03-13,"RT @harshit_: After paying full price for a ticket, being downgraded once without compensation, multiple 3+ hour-long calls and I still donâ€¦"
58,2022-03-13,"After paying full price for a ticket, being downgraded once without compensation, multiple 3+ hour-long calls and I still don't have a confirmed flight for my trip. 
To top it all instead of helping, a united representative audaciously hung up the call! @united  #unitedairlines https://t.co/W8vH0W80yX"
59,2022-03-13,"So now we finally landed after an hour delay, the bridge is not ready for us to get off ! You canâ€™t make this shit up ðŸ¤¬ðŸ¤¬ðŸ¤¬#UnitedAirlines fail . Iâ€™m flying #Delta from now on."
60,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
61,2022-03-13,"RT @birrlad: Arriving @Airport_FRA on a sunny morning @united 787-9 N24979.
#avgeek #aviation #airline #airtravel #boeing #dreamliner #unitâ€¦"
62,2022-03-13,@united  #unitedairlines customer service just hung up on me because they canceled my daughters reservation because they said she wasnâ€™t on the outbound.. but she was. This is ridiculous.
63,2022-03-13,RT @kamoni_iman: New Beginnings! ðŸ’™âœˆï¸ ðŸ™ŒðŸ½#UnitedAirlines #Elevate #Excited #Timetoshine #BlessedAndGrateful
64,2022-03-13,New Beginnings! ðŸ’™âœˆï¸ ðŸ™ŒðŸ½#UnitedAirlines #Elevate #Excited #Timetoshine #BlessedAndGrateful
65,2022-03-13,"@united This is unacceptable. Boarded my flight and this is the pocket in front of me. During a pandemic you would think your personnel would thoroughly clean everywhere on your aircrafts, not leave filth &amp; garbage in the pockets. Never flying United again
#unitedairlines #united https://t.co/TkEg7YxkA2"
66,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
67,2022-03-13,"@united : Customer service 101, when there is a huge queue in support phone number line, you ask for a callback instead of making them wait for hours! It's a super frustrating experience when flight is canceled and we have to wait for more than an hour on phone #UnitedAirlines"
68,2022-03-13,"RT @spotterguidenet: Fake? Optical illusion? Nope, the simultaneous departures at SFO are real #UnitedAirlines #SFO #sfoairport #nofake #itâ€¦"
69,2022-03-13,RT @true_BroncosFan: Been sitting in this plane for nearly an hour because of catering delay! Catering on a 2 hour flight? Itâ€™s just fuckinâ€¦
